Code,Name,Close,Location,Industry,List_date,EPS_2021,EPS_2020,EPS_2019,EPS_2018,EPS_2017,EPS_2016,EPS_2015,EPS_2014,EPS_2013,EPS_2012,EPS_2011,EPS_2010,EPS_2009,EPS_2008,EPS_2007,EPS_2006,Profit,AVG_EPS_2016_18,AVG_EPS_2011_13,Net_Asset,Div,Dividend,PE18_20,Div_Rate,Growth,Liquidate_Ratio,Assest_Over_Debt,PB,Mkt_value,,,,,,,,,Price201231
000001.SZ, 平安银行,12.68,广东,银行,4/3/1991,1/1/1900,1.4,1.45,1.39,1.3,1.32,1.56,1.73,1.86,2.62,2.47,1.91,1.62,0.2,1.22,0.67,1,1.526666667,1.536666667,16.77,是,1,8.305676856,0,-0.006507592,0,0,0.756112105,2.97E+11,1.00E+00,1,0,1,1,1,1,1,19.34
000002.SZ, 万  科Ａ,17.21,广东,房地产,1/29/1991,1/1/1900,3.62,3.47,3.06,2.54,1.9,1.64,1.43,1.37,1.14,0.88,0.66,0.48,0.37,0.73,0,1,3.01,1.656666667,20.3,是,1,5.717607973,0,0.816901408,1.220231513,0.235737067,0.847783251,2.11E+11,1.00E+00,1,0,1,1,1,1,1,28.7
000003.SZ, PT金田A,0,广东,-,7/3/1991,0,0,0,0,0,0,0,-0.039,-0.04,0,0,-0.051,-0.056,0,0,0,0,0,-0.013,0,-,0,10000,0,-1,0,0,#DIV/0!,903605018.1,0,0,0,1,#DIV/0!,1,#DIV/0!,#DIV/0!,0
000004.SZ, 国华网安,9.21,广东,医药生物,1/14/1991,-3.1566,0.3915,0.0369,-0.2414,0.102,0.468,0.0149,0.05,-0.0123,0.0239,0.0356,0.1384,0.0294,-0.1324,-0.1104,0,0,-0.9094,0.177633333,6.0748,-,0,10000,0,-6.119534622,3.934656528,-3.057730919,1.516099295,1469548505,0,0,1,1,0,1,0,0,20.7
000005.SZ, ST星源,1.83,广东,公用事业,12/10/1990,0.1313,-0.366,0.0629,0.1406,0.0145,0.1026,-0.0596,0.0472,-0.0463,0.0241,0.0125,0.005,-0.054,0.01,0.08,0,0,-0.057266667,0.030066667,1.2982,-,0,10000,0,-2.904656319,1.471567083,17.0261854,1.409644123,1968878526,0,0,0,1,1,1,1,0,2.53
000006.SZ, 深振业Ａ,4.22,广东,房地产,4/27/1992,0.4013,0.6405,0.5935,0.6476,0.5968,0.5767,0.3087,0.3763,0.5156,0.48,0.4388,0.633,0.64,0.2962,1.02,0,1,0.5451,0.420566667,5.6634,是,1,7.741698771,0,0.296108425,2.117493464,0.969263264,0.745135431,5912978301,0,1,1,1,1,1,1,1,5.61
000007.SZ, *ST全新,7.37,广东,商业贸易,4/13/1992,0.1154,-0.3548,0.0643,-0.57,0.0475,0.3378,0.0606,-0.1307,0.1007,0.0378,0.0269,0.064,0.1413,-0.331,0.0625,0,0,-0.058366667,0.089233333,0.2924,-,0,10000,0,-1.6540904,1.49798916,-3.467975096,25.20519836,2480567995,0,0,0,1,0,1,0,0,6.97
000008.SZ, 神州高铁,2.52,北京,机械设备,5/7/1992,-0.55,-0.33,0.161,0.116,0.311,0.192,0.078,0.03,0.07,0.26,-0.0073,0.0121,0.0043,0.01,0.02,0,0,-0.239666667,0.1,1.8709,-,0,10000,0,-3.396666667,1.103127915,0.43732089,1.34694532,6785140644,0,0,0,1,1,1,1,0,2.54
000009.SZ, 中国宝安,14.23,广东,综合,6/25/1991,0.4,0.26,0.12,0.1,0.06,0.11,0.5,0.2,0.23,0.15,0.25,0.3,0.23,0.19,0.24,0,1,0.26,0.27,3.1018,是,1,54.73076923,0,-0.037037037,1.547885934,0.829118382,4.587658779,31156904697,0,0,0,1,0,1,0,0,7.53
000010.SZ, 美丽生态,3.69,广东,建筑装饰,10/27/1995,0.0286,0.0486,0.0567,-0.8922,-1.2947,0.0486,0.0542,-0.1268,0.0053,0.01,0.03,-0.01,0.05,0.11,-0.2,0,0,0.044633333,-0.008,0.6308,-,0,82.67363704,0,-6.579166667,1.032569089,0.945181157,5.849714648,2959675514,0,0,0,1,0,1,0,0,3.91
000011.SZ, 深物业A,10.68,广东,房地产,3/30/1992,1/1/1900,1.3399,1.3722,0.9945,1.0453,0.5954,0.2631,0.7005,0.5048,0.6299,0.43,0.2936,0.1626,0.0181,-0.0505,0,1,1.465566667,0.519666667,7.5273,是,1,7.287283645,0,1.82020526,1.978428178,1.125153865,1.418835439,7580854050,0,1,0,1,1,1,1,1,12.17
